analyst_id,ticker,f_quarter,reports,published,eps,revenue
Analyst_7579453,ADBE,Q4 2021,"Dec16,2021","Dec1,2021",3.25,4100.00
Analyst_7579453,BB,Q3 2022,"Dec16,2021","Dec1,2021",-0.05,180.00
Analyst_7579453,DRI,Q2 2022,"Dec17,2021","Dec1,2021",1.50,2300.00
Analyst_7579453,NKE,Q2 2022,"Dec20,2021","Dec1,2021",0.71,11300.00
Suntrust_21,MTN,Q1 2022,"Dec9,2021","Jun8,2020",-3.26,323.55
Suntrust_21,CCL,Q4 2021,"Jan25,2022","Jul14,2020",-0.65,3113.00
Suntrust_21,RCL,Q4 2021,"Feb2,2022","Jul14,2020",0.23,1841.00
Suntrust_21,NCLH,Q4 2021,"Feb24,2022","Jul14,2020",-0.43,1018.00
Suntrust_21,VAC,Q4 2021,"Feb24,2022","Jul24,2020",2.02,1038.00
Suntrust_21,MTN,Q2 2022,"Mar10,2022","Jun8,2020",6.12,1008.00
Suntrust_21,CCL,Q1 2022,"Mar29,2022","Jul14,2020",0.00,3996.00
Suntrust_21,RCL,Q1 2022,"Apr29,2022","Jul14,2020",-0.71,2298.00
Suntrust_21,NCLH,Q1 2022,"May11,2022","Jul14,2020",-0.43,1075.00
Suntrust_21,MTN,Q3 2022,"Jun9,2022","Jun8,2020",8.00,1046.00
Suntrust_21,CCL,Q2 2022,"Jun23,2022","Jul14,2020",-0.17,4046.00
Oppenheimer_29,LSTR,Q4 2021,"Jan26,2022","Dec1,2021",2.88,
Oppenheimer_29,URI,Q4 2021,"Jan26,2022","Oct29,2021",6.84,
Oppenheimer_29,UPS,Q4 2021,"Feb1,2022","Oct27,2021",3.14,
Dominantstock,FIZZ,Q2 2022,"Dec9,2021","Mar5,2021",0.52,283.76
Dominantstock,CIEN,Q4 2021,"Dec9,2021","Jan27,2021",0.92,1036.00
Dominantstock,MTN,Q1 2022,"Dec9,2021","Apr22,2021",-2.80,252.26
Dominantstock,GRUB,Q3 2021,"Dec10,2021","Nov4,2020",0.28,560.13
Dominantstock,TTC,Q4 2021,"Dec15,2021","Aug4,2021",0.65,868.43
coby255,AVGO,Q4 2021,"Dec9,2021","Nov11,2021",7.71,7345.00
coby255,ADBE,Q4 2021,"Dec16,2021","Sep22,2021",3.30,4113.00
coby255,MU,Q1 2022,"Dec20,2021","Oct27,2021",2.12,7956.00
coby255,GS,Q4 2021,"Jan18,2022","Oct5,2021",10.26,11733.00
coby255,BAC,Q4 2021,"Jan18,2022","Oct5,2021",0.74,21784.00
oakcrest12,SPWH,Q3 2021,"Dec8,2021","Nov15,2021",0.72,416.59
oakcrest12,MTN,Q1 2022,"Dec9,2021","Nov5,2021",-3.40,189.46
oakcrest12,TCOM,Q3 2021,"Dec15,2021","Aug27,2021",0.48,1216.00
oakcrest12,FDX,Q2 2022,"Dec16,2021","Sep17,2021",5.28,23065.00
oakcrest12,NKE,Q2 2022,"Dec20,2021","Sep20,2021",1.17,13030.00
ABalian,TEAM,Q2 2022,"Jan20,2022","Sep27,2021",0.48,630.00
ABalian,MSFT,Q2 2022,"Jan27,2022","Oct14,2021",2.35,50700.00
ABalian,AAPL,Q1 2022,"Feb1,2022","Aug24,2021",2.00,"1,24,000"
ABalian,AMD,Q4 2021,"Feb1,2022","Oct1,2021",0.81,4500.00
ABalian,EBAY,Q4 2021,"Feb2,2022","Aug12,2021",1.05,2700.00
ABalian,FB,Q4 2021,"Feb2,2022","Oct11,2021",4.25,35000.00
ABalian,TSLA,Q4 2021,"Feb2,2022","Oct18,2021",2.05,15400.00
ABalian,SNAP,Q4 2021,"Feb8,2022","Oct13,2021",0.21,1385.00
ABalian,DIS,Q1 2022,"Feb8,2022","Jul7,2021",1.20,20750.00
ABalian,TWTR,Q4 2021,"Feb10,2022","Oct20,2021",0.41,1590.00
ABalian,DDOG,Q4 2021,"Feb17,2022","Aug9,2021",0.10,265.00
ABalian,NVDA,Q4 2022,"Feb17,2022","Oct13,2021",1.00,6980.00
ABalian,ROKU,Q4 2021,"Feb24,2022","Aug9,2021",0.30,965.00
ssshh21,NFLX,Q4 2021,"Jan18,2022","Jul7,2021",1.80,7900.00
ssshh21,BA,Q4 2021,"Jan26,2022","Nov10,2021",-0.10,15500.00
ssshh21,LUV,Q4 2021,"Jan27,2022","Oct20,2021",0.33,5200.00
ssshh21,PYPL,Q4 2021,"Feb2,2022","Nov9,2021",1.10,6500.00
ssshh21,TSLA,Q4 2021,"Feb2,2022","Oct20,2021",1.75,16800.00
ssshh21,CVS,Q4 2021,"Feb9,2022","Nov10,2021",2.00,75000.00
ssshh21,BE,Q4 2021,"Feb9,2022","Nov14,2021",0.01,290.00
ssshh21,SHOP,Q4 2021,"Feb16,2022","Oct28,2021",0.75,1400.00
ssshh21,DUK,Q4 2021,"Feb17,2022","Nov17,2021",0.95,6150.00
ssshh21,NVDA,Q4 2022,"Feb17,2022","Oct20,2021",0.82,7318.00
ssshh21,ENB,Q4 2021,"Feb18,2022","Nov9,2021",0.60,8000.00
ssshh21,SQ,Q4 2021,"Mar2,2022","Nov9,2021",0.30,4000.00
ssshh21,PLUG,Q4 2021,"Mar10,2022","Nov14,2021",-0.10,150.00
ssshh21,BA,Q1 2022,"Apr27,2022","Nov10,2021",0.75,16500.00
ssshh21,LUV,Q1 2022,"Apr28,2022","Oct20,2021",0.21,4900.00
ssshh21,NVDA,Q1 2023,"May12,2022","Oct20,2021",0.77,7631.00
ssshh21,BA,Q2 2022,"Jul27,2022","Nov10,2021",1.20,18000.00
ssshh21,LUV,Q2 2022,"Jul28,2022","Oct20,2021",1.02,6000.00
ssshh21,BA,Q3 2022,"Oct26,2022","Nov10,2021",1.60,20000.00
mdainvest,AVGO,Q4 2021,"Dec9,2021","Dec6,2021",7.82,7385.00
mdainvest,ORCL,Q2 2022,"Dec9,2021","Dec6,2021",1.15,10318.00
mdainvest,GRUB,Q3 2021,"Dec10,2021","Dec3,2021",-0.19,580.67
mdainvest,ADBE,Q4 2021,"Dec16,2021","Dec6,2021",3.26,4122.00
mdainvest,BB,Q3 2022,"Dec16,2021","Dec6,2021",-0.04,185.95
mdainvest,NFLX,Q4 2021,"Jan18,2022","Oct25,2021",1.51,7810.00
Cantor_15,JNJ,Q4 2021,"Jan25,2022","Nov18,2021",2.10,25.20
Cantor_15,PFE,Q4 2021,"Feb1,2022","Nov2,2021",0.79,23.50
Cantor_15,LLY,Q4 2021,"Feb3,2022","Dec7,2021",2.28,7.10
Cantor_15,MRK,Q4 2021,"Feb3,2022","Oct28,2021",1.43,12.30
Cantor_15,ALKS,Q4 2021,"Feb16,2022","Nov9,2021",0.14,311.40
Drogness,GME,Q3 2021,"Dec8,2021","Nov22,2021",-0.40,1222.00
Drogness,COST,Q1 2022,"Dec9,2021","Dec2,2021",2.70,53694.00
Drogness,LULU,Q3 2021,"Dec9,2021","Dec2,2021",1.55,1466.00
Drogness,ADBE,Q4 2021,"Dec16,2021","Dec8,2021",3.21,4119.00
Drogness,NKE,Q2 2022,"Dec20,2021","Dec8,2021",0.78,11511.00
Oppenheimer_6,NFLX,Q4 2021,"Jan18,2022","Jan19,2021",1.74,7.92
Oppenheimer_6,MTCH,Q4 2021,"Feb1,2022","Nov3,2021",816.00,
Oppenheimer_6,BABA,Q3 2022,"Feb2,2022","May13,2021",3.35,43.19
Oppenheimer_6,FB,Q4 2021,"Feb2,2022","Oct25,2021",3.62,
Oppenheimer_6,IAC,Q4 2021,"Feb2,2022","Nov8,2021",-0.30,950.00
Abbasmash,GME,Q3 2021,"Dec8,2021","Sep11,2021",-0.51,1169.00
Abbasmash,AVGO,Q4 2021,"Dec9,2021","Sep12,2021",7.86,7384.00
Abbasmash,LULU,Q3 2021,"Dec9,2021","Sep11,2021",1.39,1447.00
Abbasmash,GRUB,Q3 2021,"Dec10,2021","Nov25,2021",-0.17,572.67
Abbasmash,TCOM,Q3 2021,"Dec15,2021","Nov29,2021",-0.01,813.02
Abbasmash,NKE,Q2 2022,"Dec20,2021","Oct14,2021",0.68,11345.00
Abbasmash,MU,Q1 2022,"Dec20,2021","Oct14,2021",2.12,7635.00
Abbasmash,JPM,Q4 2021,"Jan14,2022","Oct14,2021",2.96,29872.00
Abbasmash,BAC,Q4 2021,"Jan18,2022","Oct14,2021",0.70,21628.00
Abbasmash,CCL,Q4 2021,"Jan25,2022","Oct14,2021",-1.55,1428.00
Analyst_7986085,IBM,Q4 2021,"Jan24,2022","Oct20,2021",4.10,20282.00
Analyst_7986085,SNAP,Q4 2021,"Feb8,2022","Apr22,2021",0.30,1300.00
Analyst_7986085,WDAY,Q4 2022,"Feb28,2022","May26,2021",0.72,1335.00
Analyst_7986085,CRM,Q4 2022,"Mar1,2022","Aug25,2021",1.00,7200.00
Analyst_7986085,PLAN,Q4 2022,"Mar2,2022","Aug31,2021",0.00,156.00
Analyst_7986085,PSTG,Q4 2022,"Mar3,2022","May26,2021",0.25,585.00
Analyst_7986085,SPLK,Q4 2022,"Mar3,2022","Aug25,2021",0.50,830.00
Analyst_7986085,OKTA,Q4 2022,"Mar10,2022","Sep1,2021",0.00,360.00
Analyst_7986085,COUP,Q4 2022,"Mar14,2022","Sep7,2021",0.12,202.50
Analyst_7986085,IBM,Q1 2022,"Apr19,2022","Oct20,2021",2.00,18100.00
Analyst_7986085,CRM,Q1 2023,"May19,2022","Aug25,2021",1.50,7275.00
Analyst_7986085,SPLK,Q1 2023,"May26,2022","Aug25,2021",-0.25,630.00
Analyst_7986085,PLAN,Q1 2023,"May31,2022","Aug31,2021",0.10,163.75
Analyst_7986085,COUP,Q1 2023,"Jun6,2022","Sep7,2021",0.10,212.50
Analyst_7986085,OKTA,Q1 2023,"Jun8,2022","Sep1,2021",0.10,380.00
Analyst_7986085,IBM,Q2 2022,"Jul18,2022","Oct20,2021",2.75,19100.00
Roth_17,APPS,Q3 2022,"Feb8,2022","Nov3,2021",0.43,352.90
Roth_17,SHOP,Q4 2021,"Feb16,2022","Oct28,2021",1.36,1287.00
Roth_17,MCHX,Q4 2021,"Feb17,2022","Nov10,2021",-0.02,12.81
Roth_17,ALRM,Q4 2021,"Mar1,2022","Nov5,2021",0.31,178.60
Roth_17,ETSY,Q4 2021,"Mar1,2022","Nov4,2021",0.71,681.91
Analyst_4321238,COST,Q1 2022,"Dec9,2021","Sep24,2021",2.67,47796.00
Analyst_4321238,LULU,Q3 2021,"Dec9,2021","Nov21,2021",1.64,1464.00
Analyst_4321238,TCOM,Q3 2021,"Dec15,2021","Nov29,2021",0.12,841.02
Analyst_4321238,ADBE,Q4 2021,"Dec16,2021","Nov21,2021",3.23,4123.00
Analyst_4321238,MU,Q1 2022,"Dec20,2021","Nov22,2021",2.52,8523.00
Analyst_4321238,NVDA,Q4 2022,"Feb17,2022","Nov21,2021",0.99,7392.00
Needham_34,RMD,Q2 2022,"Jan24,2022","Oct29,2021",1.59,957.16
Needham_34,SYK,Q4 2021,"Jan25,2022","Oct29,2021",2.75,4607.00
Needham_34,CNMD,Q4 2021,"Jan26,2022","Oct28,2021",1.07,278.51
Needham_34,HRC,Q1 2022,"Jan28,2022","Nov5,2021",1.45,743.25
Needham_34,ZBH,Q4 2021,"Feb1,2022","Nov4,2021",2.00,2086.00
Vitaly,FDX,Q2 2022,"Dec16,2021","Nov3,2021",4.29,22522.00
Vitaly,MU,Q1 2022,"Dec20,2021","Nov3,2021",2.15,7834.00
Vitaly,AMD,Q4 2021,"Feb1,2022","Nov6,2021",0.80,4527.00
Vitaly,MRK,Q4 2021,"Feb3,2022","Nov8,2021",1.60,13130.00
Vitaly,AMGN,Q4 2021,"Feb3,2022","Nov8,2021",4.15,6937.00
Vitaly,ZEN,Q4 2021,"Feb8,2022","Nov2,2021",0.19,371.23
Vitaly,SKX,Q4 2021,"Feb10,2022","Nov1,2021",0.38,1551.00
Vitaly,FSLY,Q4 2021,"Feb24,2022","Nov6,2021",-0.14,92.13
Vitaly,TDOC,Q4 2021,"Mar2,2022","Nov3,2021",-0.55,547.85
Suntrust_5,MAN,Q4 2021,"Feb1,2022","Jul20,2020",1.28,4776.00
Suntrust_5,RHI,Q4 2021,"Feb1,2022","Jul24,2020",0.64,1323.00
Suntrust_5,CACI,Q2 2022,"Feb2,2022","Apr30,2020",3.44,1525.00
Suntrust_5,EXPO,Q4 2021,"Feb3,2022","Jul31,2020",0.41,108.00
Suntrust_5,BAH,Q3 2022,"Feb4,2022","May26,2020",0.96,2108.00
Suntrust_5,KFRC,Q4 2021,"Feb8,2022","May6,2020",0.53,328.00
Suntrust_5,BCO,Q4 2021,"Feb9,2022","Jul29,2020",1.43,1008.00
Suntrust_5,NSP,Q4 2021,"Feb14,2022","May4,2020",0.48,1005.00
Suntrust_5,ASGN,Q4 2021,"Feb16,2022","Jul30,2020",1.18,1005.00
Suntrust_5,AMN,Q4 2021,"Feb17,2022","Jul21,2020",0.69,545.00
Suntrust_5,LDOS,Q4 2021,"Feb22,2022","May5,2020",1.67,3618.00
Suntrust_5,MANT,Q4 2021,"Feb23,2022","Jul29,2020",0.87,659.00
Suntrust_5,HURN,Q4 2021,"Feb23,2022","Jul30,2020",0.93,235.00
Suntrust_5,EHTH,Q4 2021,"Feb24,2022","Jul23,2020",5.38,469.00
Suntrust_5,FCN,Q4 2021,"Feb24,2022","Jul30,2020",1.31,631.00
Suntrust_5,KBR,Q4 2021,"Feb25,2022","Apr29,2020",0.53,1511.00
Suntrust_5,HSII,Q4 2021,"Feb28,2022","Jul27,2020",0.36,148.00
Suntrust_5,ICFI,Q4 2021,"Mar1,2022","Jun22,2020",1.51,427.00
Suntrust_5,CCRN,Q4 2021,"Mar2,2022","May7,2020",0.03,169.00
Suntrust_5,KFY,Q3 2022,"Mar9,2022","Jul2,2020",0.43,434.00
Suntrust_5,PSN,Q4 2021,"Mar15,2022","May6,2020",0.57,1057.00
Suntrust_5,SAIC,Q4 2022,"Mar31,2022","Jun4,2020",1.79,1874.00
